freq, float rmse, float err, float rounded rmse, float rounded err, float dithered rmse, float dithered err, float fixed rmse, float fixed err
20.6734132669,1.46529664088e-08,-8.62630140894e-13,4.24011059259e-08,3.42066684714e-11,4.63320708831e-08,-4.74195928811e-12,9.11472766421e-08,-6.02715162525e-08
21.3672732515,1.44777348047e-08,-4.69726364843e-13,4.21138629551e-08,2.80843243234e-11,4.58656424483e-08,1.23536036441e-12,9.10607038912e-08,-6.02612087498e-08
22.0844211989,1.4745453086e-08,2.46480864967e-13,4.30628050513e-08,-4.32316626498e-11,4.70655700798e-08,-1.74921743783e-13,9.17260250855e-08,-6.03224287213e-08
22.8256387209,1.4745453086e-08,2.46480864967e-13,4.30628050513e-08,-4.32316626498e-11,4.70655700798e-08,-1.74921743783e-13,9.17260250855e-08,-6.03224287213e-08
23.5917336626,1.43658223983e-08,-5.2128196552e-12,4.37039354247e-08,-4.37910643584e-11,4.78847343512e-08,7.2884102041e-13,9.28612587766e-08,-6.03236533674e-08
24.3835409827,1.43761594906e-08,3.41488094189e-12,4.27509952729e-08,-5.69518213222e-12,4.65001591727e-08,9.64896770091e-12,9.05409265185e-08,-6.03698795148e-08
25.2019236635,1.44532676924e-08,-1.40637934312e-11,4.29307515147e-08,2.40552668933e-11,4.69878704302e-08,-7.67936640664e-12,9.19611858463e-08,-6.04453454227e-08
26.0477736516,1.48612753372e-08,1.6868387366e-11,4.25796462145e-08,-3.9368145512e-11,4.59793689122e-08,1.15325945978e-11,9.20551902997e-08,-6.05093231243e-08
26.9220128298,1.48612753372e-08,1.6868387366e-11,4.25796462145e-08,-3.9368145512e-11,4.59793689122e-08,1.15325945978e-11,9.20551902997e-08,-6.05093231243e-08
27.8255940221,1.44700751845e-08,-8.73768944636e-13,4.30612539836e-08,-7.47833141595e-11,4.54866676563e-08,-4.6091125411e-12,9.26172351066e-08,-6.06180147696e-08
28.7595020319,1.50110360048e-08,-6.94435094586e-12,4.16344709877e-08,-5.27948348789e-11,4.73197377395e-08,1.63041240107e-12,8.98539055023e-08,-6.05010301517e-08
29.7247547156,1.45190065273e-08,-4.92198773632e-12,4.21853351597e-08,8.89209783988e-12,4.52245951722e-08,-9.86893456582e-12,9.18805172177e-08,-6.05901012954e-08
30.7224040918,1.46287355992e-08,-7.17172687102e-12,4.20250681776e-08,2.90970054636e-12,4.66066352257e-08,-1.64930175604e-11,9.2282221175e-08,-6.05912657452e-08
31.7535374879,1.47014103102e-08,-8.02567242632e-12,4.31734850224e-08,6.79244554613e-11,4.64192690644e-08,-1.23374516211e-11,9.1328355369e-08,-6.06102256641e-08
32.8192787251,1.50801653224e-08,7.20817634258e-14,4.29748586059e-08,1.10792318528e-10,4.66934381809e-08,7.04220538362e-12,9.19276746965e-08,-6.05832323235e-08
33.9207893435,1.43078797745e-08,2.0199366332e-11,4.3127178573e-08,7.9611232935e-12,4.74183408401e-08,2.94203492101e-11,9.14417545508e-08,-6.06374854598e-08
35.0592698676,1.47496123641e-08,9.55814508194e-13,4.27144769879e-08,4.86409458165e-11,4.74234618396e-08,4.25101840957e-12,9.11894853989e-08,-6.05880716174e-08
36.2359611153,1.5031138072e-08,-2.15399403395e-11,4.39277818218e-08,7.46765953561e-11,4.68735589549e-08,-1.71460505298e-11,9.18142753447e-08,-6.06433227092e-08
37.4521455498,1.46426146083e-08,-1.46247160057e-12,4.30346719364e-08,-2.43693467315e-11,4.73360172421e-08,-6.28000351839e-13,9.14175446954e-08,-6.08042502909e-08
38.7091486774,1.40076647104e-08,-3.73664321464e-13,4.203362566e-08,1.928783721e-11,4.75326229107e-08,-5.26625132123e-12,9.30299772272e-08,-6.07762216563e-08
40.0083404924,1.4731219005e-08,3.10658107821e-11,4.23894660653e-08,-1.26107468527e-10,4.58245300622e-08,2.63016514476e-11,9.25226833599e-08,-6.09627246661e-08
41.3511369702,1.49186995735e-08,4.32810577703e-11,4.21109378712e-08,2.88113971243e-11,4.61992086255e-08,5.50804583705e-11,9.18901627599e-08,-6.10206346675e-08
42.7390016103,1.49081074254e-08,1.59269614461e-11,4.47997076557e-08,5.72169774178e-11,4.7050330892e-08,2.87081829939e-12,9.16225542058e-08,-6.08381592525e-08
44.1734470314,1.47294467875e-08,-1.74947182981e-11,4.30905173409e-08,5.23553401159e-12,4.65354011198e-08,-2.28743929083e-11,9.17526399059e-08,-6.0906467489e-08
45.6560366204,1.48815520759e-08,1.29641610061e-11,4.2829144474e-08,-3.20129487178e-11,4.63817314709e-08,2.6138270752e-11,9.21142681478e-08,-6.10032026877e-08
47.1883862357,1.45164916254e-08,-6.02500870697e-12,4.36059869413e-08,7.95157104052e-11,4.7137408436e-08,-1.07258994748e-11,9.02054555036e-08,-6.0923874819e-08
48.7721659689,1.44453900805e-08,-3.85915556801e-11,4.30604648032e-08,-1.20760532425e-10,4.69171605399e-08,-2.74096057728e-11,9.30374734705e-08,-6.10167613062e-08
50.4091019645,1.43626571614e-08,-5.20508237087e-11,4.13004655525e-08,7.09362111497e-11,4.69102493792e-08,-5.78349473517e-11,9.13867154151e-08,-6.10628580401e-08
52.1009783016,1.45808887392e-08,-1.09546479495e-11,4.1703704958e-08,2.36449106449e-11,4.66239235334e-08,-9.65310611599e-12,9.16977083149e-08,-6.1312531103e-08
53.8496389381,1.46244738389e-08,-4.04866040167e-11,4.29435833161e-08,-5.9866748541e-11,4.6750681909e-08,-2.54135693485e-11,9.15268462278e-08,-6.13871889917e-08
55.6569897206,1.45500451913e-08,-1.70716894605e-11,4.27057316928e-08,-3.80978557639e-11,4.61547245654e-08,-2.45012842947e-12,9.33356003778e-08,-6.14251789803e-08
57.5250004614,1.45670856747e-08,-7.84042418885e-11,4.27250924452e-08,1.83098307587e-10,4.61710448898e-08,-7.50905228638e-11,9.21800077845e-08,-6.14132873918e-08
59.4557070854,1.50243119091e-08,1.07189493746e-12,4.25516264656e-08,1.40292781578e-10,4.58444066118e-08,-1.23449585152e-11,9.17149923495e-08,-6.17157440045e-08
61.4512138492,1.48729869804e-08,-1.88899371204e-11,4.32961583499e-08,1.53518780626e-11,4.53385135097e-08,-2.41336800407e-11,9.16022132374e-08,-6.13859210763e-08
63.5136956341,1.47258219859e-08,-9.36373945649e-11,4.22589919808e-08,1.36878100752e-10,4.62798134243e-08,-1.08324573201e-10,9.11583814771e-08,-6.1613287535e-08
65.6454003172,1.4734302845e-08,-5.53463815698e-11,4.31223352701e-08,1.94414824558e-10,4.74531269695e-08,-5.93124192195e-11,8.91425107275e-08,-6.14611867372e-08
67.8486512205,1.45553084091e-08,4.83140895572e-11,4.33881397535e-08,-6.96398348994e-11,4.60327422918e-08,6.16490418526e-11,9.31398332599e-08,-6.20812267296e-08
70.1258496436,1.46905755886e-08,-3.35790157652e-11,4.1635460659e-08,1.12558252399e-10,4.5974902196e-08,-2.33178873635e-11,9.20575943951e-08,-6.18472831919e-08
72.4794774808,1.49628480636e-08,-5.46501452917e-11,4.3731682299e-08,4.05339543752e-11,4.76671767167e-08,-5.31846777001e-11,9.25922110824e-08,-6.1860201175e-08
74.9120999259,1.45962457049e-08,7.06885679833e-11,4.31336355442e-08,7.44790400557e-11,4.5863155869e-08,7.44795282682e-11,9.22842590455e-08,-6.20520890601e-08
77.4263682681,1.47660284275e-08,8.38184077842e-11,4.31445525317e-08,7.24419544268e-11,4.66225892414e-08,7.24425020499e-11,9.30643141629e-08,-6.2394430888e-08
80.0250227816,1.4625554565e-08,2.37863118781e-11,4.2435474371e-08,-1.47944987132e-10,4.60591862899e-08,7.95082802724e-12,9.34747308385e-08,-6.22989085961e-08
82.7108957122,1.46022604942e-08,1.17137187278e-11,4.18718129738e-08,2.20169223965e-10,4.48211889885e-08,4.98867346005e-12,9.27064480027e-08,-6.25583685689e-08
85.486914364,1.42570381006e-08,-1.32655093323e-10,4.17537657621e-08,-1.94452570145e-10,4.47535786032e-08,-1.38747430014e-10,9.34737674497e-08,-6.2472951416e-08
88.3561042902,1.46892096469e-08,4.35444975398e-13,4.28541647422e-08,5.98833173772e-11,4.65398106425e-08,2.23824964379e-12,9.26925476334e-08,-6.24846422827e-08
91.3215925902,1.48674928461e-08,2.12263895266e-11,4.30171035425e-08,1.019064598e-10,4.82958068149e-08,4.22124187219e-11,9.17279562527e-08,-6.26366819132e-08
94.386611318,1.44462974541e-08,-6.81012955855e-11,4.33840786232e-08,-1.63210471285e-10,4.74629955174e-08,-3.96137374063e-11,9.11976071529e-08,-6.23324926482e-08
97.5545010047,1.45517621391e-08,1.43322007338e-10,4.73454645584e-08,-4.94555770388e-10,4.91606637196e-08,1.4532222223e-10,9.76048944958e-08,-6.3074635022e-08
100.828714299,1.46799794326e-08,-2.46022770601e-11,4.26293904728e-08,-7.85752374949e-11,4.62048911824e-08,-3.22804022015e-11,9.36573288695e-08,-6.37803059385e-08
104.212819732,1.461890912e-08,-1.14865464706e-10,4.23248225997e-08,-7.51676428289e-10,4.52688539793e-08,-1.31042827787e-10,9.43887233413e-08,-6.45813998283e-08
107.710505604,1.45394132313e-08,5.0049709631e-10,4.24580477648e-08,5.67209659903e-10,4.55260609825e-08,5.18010316077e-10,9.40941488265e-08,-6.5113523023e-08
111.325584004,1.48272976496e-08,-2.82806744221e-10,4.28286705759e-08,1.44923501864e-09,4.63592579416e-08,-2.75494682933e-10,9.21100593454e-08,-6.35325083499e-08
115.061994968,1.43847505783e-08,5.68340004768e-10,4.22399084345e-08,8.54109854046e-10,4.62173207385e-08,5.92686473017e-10,9.3638245478e-08,-6.47109974486e-08
118.923810772,1.46425473613e-08,3.02912248273e-10,4.22458377141e-08,2.48447462357e-10,4.59034870825e-08,3.02318935662e-10,9.36660746013e-08,-6.39080202716e-08
122.915240365,1.4188887126e-08,-5.5042584332e-11,4.23013379882e-08,-3.04224877824e-10,4.71529752726e-08,-8.21250082215e-11,9.33106644693e-08,-6.37677600462e-08
127.040633965,1.44127093598e-08,5.42832734021e-10,4.35240890804e-08,5.4408658572e-10,4.74108869097e-08,5.44094599436e-10,9.44437236602e-08,-6.44947511914e-08
131.304487795,1.42069002557e-08,1.72680909551e-10,4.31215977401e-08,-1.37148236774e-09,4.6381503944e-08,1.6137979301e-10,9.50554688487e-08,-6.4867236183e-08
135.711448983,1.45511522652e-08,1.58177429619e-10,4.2507084801e-08,1.38915884037e-09,4.60594468498e-08,1.7459058796e-10,9.49242033456e-08,-6.46830282843e-08
140.266320628,1.46155064607e-08,-2.36810634114e-10,4.29384653782e-08,-8.32249413077e-10,4.68170981498e-08,-2.06813788629e-10,9.37245666697e-08,-6.37517407707e-08
144.974067037,1.46166295964e-08,-4.09140563932e-10,4.21972129772e-08,-2.03855377334e-09,4.66415068233e-08,-4.27621508304e-10,9.19354491849e-08,-6.30608300373e-08
149.839819133,1.47357108908e-08,-9.99527073823e-11,4.29551861819e-08,3.86847553248e-10,4.73290512238e-08,-7.77729310029e-11,9.38457812752e-08,-6.33994107785e-08
154.868880046,1.45615647508e-08,-4.12057562562e-10,4.15224348648e-08,-5.2837597326e-10,4.46720434698e-08,-3.91663238342e-10,9.27600670869e-08,-6.27304654296e-08
160.066730896,1.44870036536e-08,-3.86001844816e-11,4.23884976687e-08,1.11403896234e-10,4.53210134503e-08,-2.93272668046e-11,9.24057850118e-08,-6.18858634111e-08
165.439036765,1.42128898675e-08,-3.59478676864e-10,4.16205371642e-08,9.45632650012e-11,4.55940213613e-08,-3.40252230003e-10,9.36397505947e-08,-6.41842471431e-08
170.991652873,1.46896037137e-08,1.13704461968e-10,4.24565513487e-08,-2.28780087521e-10,4.69678859551e-08,1.4421766604e-10,9.405168571e-08,-6.23697953817e-08
176.730630956,1.46634509439e-08,1.71362305535e-10,4.3393563202e-08,6.38641866877e-10,4.70663496384e-08,1.7777794921e-10,9.39674337357e-08,-6.39586608319e-08
182.662225864,1.41402610454e-08,-5.28348130189e-10,4.18917309217e-08,-1.8661187005e-09,4.61595569493e-08,-5.22241312677e-10,9.20730638525e-08,-6.22612785947e-08
188.792902381,1.47737683013e-08,7.13395771249e-10,4.19624045897e-08,2.74302489116e-09,4.52938416321e-08,7.10127224274e-10,9.15848990445e-08,-6.12526792359e-08
195.129342264,1.45218340739e-08,-7.37882458899e-11,4.25200271052e-08,-8.03662072331e-10,4.61205878954e-08,-5.02339054676e-11,9.31785534198e-08,-6.26685974302e-08
201.678451531,1.50166531409e-08,9.91057165122e-11,4.28721990024e-08,1.06920060896e-09,4.64149640463e-08,1.22416862017e-10,9.05720313802e-08,-6.09884829027e-08
208.447367988,1.45071159589e-08,-3.64711618104e-10,4.23626693378e-08,9.9248515546e-10,4.59571647668e-08,-3.3599083275e-10,9.3816386609e-08,-6.27747469678e-08
215.443469003,1.47827279389e-08,7.21136222869e-10,4.30027850644e-08,1.39819174401e-09,4.70967986061e-08,7.60215543528e-10,9.21609583408e-08,-6.20342763771e-08
222.674379553,1.45639434663e-08,1.03630175331e-09,4.29687859279e-08,2.27024708565e-09,4.78009417176e-08,1.05191675558e-09,9.21038824992e-08,-6.15517098674e-08
230.147980529,1.44796146832e-08,-5.27971294426e-10,4.33210411057e-08,-2.43842187714e-09,4.54810970903e-08,-5.11031658466e-10,9.2198761506e-08,-6.12239236228e-08
237.872417329,1.42640105431e-08,-3.68882893672e-10,4.24514949642e-08,-2.36002794644e-09,4.67374788137e-08,-3.78168178511e-10,9.10948367269e-08,-5.90414248473e-08
245.856108735,1.45669721438e-08,-6.23058979834e-10,4.25708106672e-08,-6.9743004177e-10,4.62725552441e-08,-5.95635849128e-10,9.31169321429e-08,-6.13709871666e-08
254.107756086,1.46511237796e-08,-4.81787472247e-10,4.20936377552e-08,-3.18456684958e-09,4.55104440689e-08,-4.63371678132e-10,9.06261582348e-08,-5.94923953566e-08
262.636352765,1.415287263e-08,9.67052716809e-10,4.23362135015e-08,1.72501512537e-09,4.52777307135e-08,9.718848727e-10,9.10231206371e-08,-5.96010733127e-08
271.451193998,1.45288875777e-08,4.37664796556e-11,4.19569733372e-08,1.17193417687e-10,4.46827241266e-08,6.71322215879e-12,9.14599413194e-08,-6.02055883218e-08
280.561886986,1.42687895688e-08,-3.73477771898e-12,4.43632633675e-08,-1.65988440727e-09,4.71611501577e-08,4.31068219605e-11,8.82939323386e-08,-5.79720756005e-08
289.978361377,1.42580055351e-08,4.35035877008e-10,4.29972512802e-08,2.85694527737e-09,4.59847382326e-08,4.07440189492e-10,9.06999242597e-08,-5.87306466339e-08
299.710880084,1.44713416535e-08,4.01638408296e-10,4.2936357621e-08,5.92114150915e-10,4.71933573688e-08,3.52495849526e-10,9.11088766237e-08,-5.94318559801e-08
309.770050476,1.47503979444e-08,-2.59847739923e-10,4.15686349387e-08,4.10803170798e-10,4.58903523424e-08,-2.04311070937e-10,9.14545472403e-08,-6.09776970693e-08
320.166835936,1.42678703425e-08,-2.94990147013e-11,4.05919117991e-08,-1.57976603387e-09,4.53081786944e-08,-6.44052282399e-11,9.20196188647e-08,-6.15632594269e-08
330.912567809,1.46499914219e-08,2.34936161282e-10,4.25957318251e-08,-7.7042600696e-10,4.60033087663e-08,2.6617757987e-10,9.10590668265e-08,-5.99863432139e-08
342.018957753,1.47524431119e-08,-5.4259541787e-11,4.19551482344e-08,-6.02040332346e-10,4.6265063045e-08,-6.98599976187e-11,9.26127380127e-08,-6.35328414296e-08
353.498110503,1.48702263516e-08,8.42936313404e-11,4.10937585657e-08,2.05869450162e-09,4.40245572749e-08,1.46979289411e-10,9.08359568979e-08,-6.02087019499e-08
365.362537066,1.4657263055e-08,1.13742920254e-11,4.27285843459e-08,-1.4957449095e-09,4.68729048955e-08,4.51584877123e-11,9.54367732784e-08,-6.39720533362e-08
377.625168354,1.4539612015e-08,-1.18546446543e-10,4.16325028524e-08,-2.09325346925e-09,4.59183968785e-08,-8.24914206403e-11,9.28990007845e-08,-6.38522989876e-08
390.299369277,1.49620232409e-08,-4.77554063985e-10,4.21145761267e-08,1.26304889457e-09,4.63507681076e-08,-5.05192020574e-10,9.05924793494e-08,-6.03308637452e-08
403.398953311,1.42836401002e-08,-4.51789216469e-10,4.25576308704e-08,3.42316692839e-10,4.59544794755e-08,-4.13133231626e-10,9.35054076353e-08,-6.23596556163e-08
416.938197553,1.43648988026e-08,-2.24695660203e-10,4.17043470013e-08,2.89344612368e-10,4.52214258551e-08,-1.75111219467e-10,9.2102765655e-08,-6.14827478308e-08
430.931858281,1.45935420084e-08,1.20481065447e-10,4.25961086849e-08,-1.27000656591e-09,4.57304773427e-08,1.58595964128e-10,9.166949827e-08,-6.0001596312e-08
445.395187035,1.47067234387e-08,-2.5955069478e-10,4.4193001103e-08,-2.26468567513e-09,4.74324718134e-08,-3.13110777153e-10,9.15126497617e-08,-6.13001110501e-08
460.343947244,1.4687879802e-08,-5.81880875477e-10,4.32788628878e-08,3.53898617086e-10,4.57149223058e-08,-6.45059231349e-10,8.91577818872e-08,-5.90842412724e-08
475.794431401,1.45171672679e-08,-6.92870105569e-11,4.01058197117e-08,6.24381650401e-10,4.48539313323e-08,-5.77857168956e-11,9.03430163805e-08,-5.90655358344e-08
491.763478824,1.48013602122e-08,4.09125825908e-11,4.17344665697e-08,-1.49076484029e-09,4.57214785546e-08,8.00829052598e-11,9.23642793976e-08,-6.31026056065e-08
508.268494007,1.44407624545e-08,-6.00311903714e-10,4.36432569451e-08,-1.81647502276e-09,4.64957550361e-08,-5.65403958645e-10,8.98947166969e-08,-5.84721619643e-08
525.327465589,1.48274436369e-08,5.08172948387e-10,4.42539359012e-08,2.62491257892e-10,4.92656427242e-08,4.45606481031e-10,9.2333060186e-08,-6.18142534557e-08
542.958985962,1.40930274476e-08,-2.81815543265e-10,4.1577650252e-08,1.97180582431e-10,4.74858365885e-08,-3.64242180631e-10,9.16524174027e-08,-6.19338708005e-08
561.182271531,1.50172772389e-08,5.38519008768e-10,4.23448680728e-08,1.03181591191e-09,4.60888722232e-08,4.56866233678e-10,9.18591843942e-08,-6.18309630706e-08
580.01718366,1.47172868077e-08,-4.14764331927e-10,4.487233995e-08,1.482369926e-09,4.82693445513e-08,-4.78320024242e-10,9.23295972462e-08,-6.00829585387e-08
599.484250319,1.4309311656e-08,-1.10094707675e-10,4.17947527097e-08,-7.06276002402e-10,4.51720142187e-08,-1.05212808624e-10,9.29033195024e-08,-6.14128476657e-08
619.604688455,1.43370419906e-08,-7.3226652547e-10,4.31055610692e-08,-9.11218700956e-10,4.67536309055e-08,-7.06400125198e-10,9.13314559323e-08,-6.15400043108e-08
640.40042712,1.42473922281e-08,-1.16864536091e-10,4.30466016922e-08,-5.79217716269e-10,4.59100215855e-08,-1.60218945921e-10,9.47514205085e-08,-6.4059759701e-08
661.894131366,1.47855964906e-08,5.81725045646e-10,4.25494519162e-08,6.33130932956e-10,4.49488174048e-08,6.33131830801e-10,9.08888538481e-08,-6.10047066087e-08
684.109226951,1.41628740487e-08,5.33151946449e-10,4.31706961095e-08,9.94131744471e-10,4.57207706218e-08,5.56659432434e-10,9.15702951489e-08,-6.00322923482e-08
707.069925872,1.45653894383e-08,-8.46315014726e-12,4.36628032327e-08,-1.87544983443e-09,4.8142253539e-08,-8.95455277889e-11,9.26731729357e-08,-6.12568647578e-08
730.801252749,1.41101233246e-08,-7.68010285337e-10,4.27229137474e-08,2.50629401488e-09,4.65946204216e-08,-6.8477405435e-10,9.21884054472e-08,-5.85799181249e-08
755.3290721,1.43577019599e-08,-1.22415478556e-09,4.3040349879e-08,-6.22069882725e-10,4.70071364902e-08,-1.32056285133e-09,8.8808139932e-08,-5.6035766699e-08
780.680116535,1.41577849681e-08,2.2693765146e-10,4.20834668191e-08,1.331729563e-09,4.70288229053e-08,1.44366236301e-10,9.04692154116e-08,-5.87478518527e-08
806.882015885,1.43649345346e-08,3.71258352174e-10,4.16045527235e-08,2.98540654241e-09,4.60057786138e-08,3.20164103365e-10,9.08517484386e-08,-6.04959694101e-08
833.963327321,1.44983249206e-08,1.86418690175e-11,4.16596302189e-08,9.10754354814e-11,4.55138772143e-08,9.10694191292e-11,9.18601421946e-08,-6.19867889431e-08
861.953566475,1.48027139688e-08,-1.60250365797e-09,4.27103478402e-08,-1.24905560392e-09,4.54734764898e-08,-1.50109323561e-09,9.27784860855e-08,-6.0979729428e-08
890.883239609,1.41223336035e-08,-2.86687782069e-10,4.09907428086e-08,3.62779527928e-09,4.4799666956e-08,-2.25946121106e-10,9.32127824275e-08,-6.31705249805e-08
920.783876865,1.47175623391e-08,-8.53186173592e-11,4.33656236001e-08,1.88886672412e-09,4.60051427956e-08,-2.07123386427e-10,9.08036507768e-08,-5.96807577165e-08
951.688066627,1.41264463569e-08,4.24363868531e-10,4.21436746912e-08,-3.91307361973e-10,4.57417571009e-08,4.0874451772e-10,9.01977628528e-08,-6.06626739845e-08
983.629491043,1.47400024768e-08,6.68346891374e-10,4.22911998256e-08,-1.72057965922e-09,4.49076321055e-08,7.2891509029e-10,9.3333616621e-08,-6.29582219873e-08
1016.64296273,1.43938346216e-08,-4.55672667301e-10,4.20762555516e-08,-3.01725591987e-10,4.56302715875e-08,-5.78317262889e-10,8.89266625969e-08,-5.89383050821e-08
1050.76446271,1.4868361006e-08,1.64037401164e-10,4.44979243883e-08,3.89682199961e-10,4.79370158545e-08,1.07866856757e-10,9.18583513078e-08,-5.90740530258e-08
1086.03117966,1.43750547355e-08,-3.72665637711e-10,4.23557662426e-08,1.59490048238e-09,4.83706925913e-08,-4.15871324542e-10,8.758329882e-08,-5.75788674465e-08
1122.48155038,1.44510088814e-08,-1.75523755027e-11,4.37145044676e-08,1.515277917e-09,4.56516107053e-08,5.43671337078e-11,9.01535297785e-08,-6.21798958813e-08
1160.15530174,1.4404415328e-08,1.5315715763e-10,4.17424114639e-08,-1.65369922883e-09,4.70681842257e-08,1.29983564773e-10,9.09662220993e-08,-6.02178685541e-08
1199.09349397,1.43543299266e-08,5.86129150335e-12,4.22511691877e-08,-2.63248043128e-09,4.57948608065e-08,8.36689357362e-11,9.01479469986e-08,-5.87664786589e-08
1239.33856538,1.48252135598e-08,3.99580312117e-10,4.44385309625e-08,-4.11782863293e-09,4.75964017925e-08,4.90775490354e-10,9.47724645316e-08,-6.12645481944e-08
1280.93437865,1.38637919167e-08,8.2346288173e-11,4.18952294851e-08,2.05147307428e-09,4.57681645202e-08,1.79073020913e-10,8.82684617412e-08,-5.66169842141e-08
1323.92626861,1.45024835559e-08,-5.48753867615e-10,4.21126447691e-08,-2.85150473899e-09,4.33453034654e-08,-6.32187717448e-10,9.23193840827e-08,-5.96027249213e-08
1368.36109166,1.42491266672e-08,1.26217458337e-10,4.11897307907e-08,6.4617158398e-09,4.4322932936e-08,1.79663803987e-11,9.24998402055e-08,-6.28085316515e-08
1414.28727684,1.45256408329e-08,1.6668148249e-09,4.33698832603e-08,6.95791393117e-09,4.68844566555e-08,1.71795953603e-09,9.29410745815e-08,-5.91966829935e-08
1461.75487861,1.45007239948e-08,1.28715360252e-09,4.12029614984e-08,-2.52227596597e-09,4.62629217785e-08,1.130369186e-09,9.44021071273e-08,-6.36212134801e-08
1510.8156314,1.36069234073e-08,4.64444763424e-12,4.25818538954e-08,-1.91925043477e-10,4.69900208549e-08,1.45794219174e-10,9.23153906852e-08,-6.06408249287e-08
1561.523006,1.41517197109e-08,3.23028735735e-11,4.25472915811e-08,-1.72999549167e-09,4.67293498206e-08,-1.72104054996e-11,8.91746106476e-08,-6.03069675312e-08
1613.93226784,1.3865400078e-08,7.88172622201e-10,4.01172230846e-08,-1.47565288664e-09,4.55972672553e-08,9.57188804061e-10,9.00930054329e-08,-5.98638694793e-08
1668.1005372,1.40747316357e-08,4.1973108757e-11,4.29778031823e-08,-5.86223284451e-10,4.5396310978e-08,1.19158077105e-10,8.83532196375e-08,-5.73693774267e-08
1724.08685151,1.42389077201e-08,1.23832187232e-10,4.20316932264e-08,-1.61893044741e-09,4.46575498497e-08,1.65650421625e-10,8.87239699287e-08,-5.83682661057e-08
1781.95222966,1.43270842277e-08,8.86962761253e-10,4.28382048046e-08,6.53291440479e-09,4.89435627362e-08,7.35504373905e-10,8.96959665644e-08,-5.83256347431e-08
1841.7597385,1.36890199174e-08,3.37739017552e-10,4.20701614516e-08,-7.23964862141e-10,4.5425312014e-08,3.76417291332e-10,9.17594247646e-08,-6.16123929214e-08
1903.57456159,1.39906971496e-08,8.65350625498e-10,4.26134352975e-08,7.52209005645e-10,4.69347026134e-08,7.52218320575e-10,9.0439857668e-08,-5.8295388068e-08
1967.46407025,1.45863871406e-08,1.97393392317e-09,4.2388090624e-08,8.25998417536e-10,4.93411264921e-08,1.95772025256e-09,9.17031865885e-08,-5.99103909796e-08
2033.49789698,1.49496619829e-08,5.82087248407e-11,4.49801092973e-08,1.13977722216e-09,4.85211793892e-08,-2.80645222461e-12,8.88957642258e-08,-5.67509948254e-08
2101.74801133,1.4069186686e-08,1.48375896215e-09,3.95737092883e-08,8.59846311494e-10,4.53911605616e-08,1.63145572866e-09,9.02589646555e-08,-5.97092650168e-08
2172.28879838,1.46983696243e-08,-2.15104929599e-11,4.39227245183e-08,-6.3223213263e-10,4.95277002032e-08,1.49459342489e-10,9.34329490024e-08,-6.16048392126e-08
2245.19713977,1.40913480235e-08,1.02523555105e-09,4.25668582913e-08,-5.39019385427e-09,4.68969710202e-08,9.46513753629e-10,9.24728611943e-08,-6.04403371751e-08
