freq, float rmse, float err, float rounded rmse, float rounded err, float dithered rmse, float dithered err, float fixed rmse, float fixed err
20.6734132669,3.66705933784e-08,1.13488807358e-10,5.07331800849e-08,-1.40441153839e-11,6.10027172339e-08,1.15785146259e-10,1.52735858791e-07,-5.96576375602e-08
21.3672732515,3.75373797752e-08,1.2028549277e-10,5.12442845978e-08,-2.13980960406e-10,6.1775436538e-08,1.21631009183e-10,1.52939155189e-07,-5.96709564852e-08
22.0844211989,3.73192569093e-08,-5.21745881669e-12,5.06306767155e-08,-3.23545577276e-10,6.14127520765e-08,-7.79728658685e-12,1.52731287104e-07,-5.96985552329e-08
22.8256387209,3.73192569093e-08,-5.21745881669e-12,5.06306767155e-08,-3.23545577276e-10,6.14127520765e-08,-7.79728658685e-12,1.52731287104e-07,-5.96985552329e-08
23.5917336626,3.59938017066e-08,-3.26224623331e-10,4.95492021432e-08,1.49283419433e-10,6.0680507595e-08,-3.25594820629e-10,1.5304286419e-07,-5.97002205306e-08
24.3835409827,3.5600763026e-08,2.31858340799e-10,5.01386965792e-08,3.37750915558e-10,6.0344235944e-08,2.30341371213e-10,1.5273122543e-07,-5.97502369001e-08
25.2019236635,3.66286272634e-08,1.02071814393e-10,5.01709073029e-08,7.64591405581e-10,6.09087432003e-08,9.81744258241e-11,1.54593882575e-07,-5.97206757553e-08
26.0477736516,3.71171040057e-08,1.52488236622e-10,5.06803446056e-08,-1.47295167217e-10,6.13132351598e-08,1.58108800966e-10,1.52981230507e-07,-5.9718006051e-08
26.9220128298,3.71171040057e-08,1.52488236622e-10,5.06803446056e-08,-1.47295167217e-10,6.13132351598e-08,1.58108800966e-10,1.52981230507e-07,-5.9718006051e-08
27.8255940221,3.62618323491e-08,-6.64593227933e-10,5.06544528114e-08,-9.56749495337e-10,6.01829791904e-08,-6.58506814115e-10,1.53725255094e-07,-5.96929820914e-08
28.7595020319,3.61990908608e-08,-4.97897058642e-10,5.01721465332e-08,-9.68859948439e-10,6.07471447778e-08,-4.97174967458e-10,1.52387746042e-07,-5.97299142416e-08
29.7247547156,3.70590609518e-08,2.16021867603e-11,5.04132478819e-08,-4.88406841924e-10,6.10083813482e-08,1.81485465839e-11,1.53298453609e-07,-5.97928706411e-08
30.7224040918,3.7002441632e-08,-3.32359566206e-12,5.03852260413e-08,-2.97727740607e-10,6.12996065528e-08,-6.68965758979e-12,1.52171242916e-07,-5.97665546205e-08
31.7535374879,3.7834253909e-08,4.17041851385e-10,5.07488619687e-08,6.28241609715e-10,6.22355833663e-08,4.27586575074e-10,1.53029646461e-07,-5.98091222028e-08
32.8192787251,3.54526814719e-08,1.62033788001e-10,4.90188650458e-08,5.21293700496e-10,6.00678011378e-08,1.68542161419e-10,1.53465009974e-07,-5.97784791697e-08
33.9207893435,3.68092203275e-08,-8.76662545225e-10,4.98408174736e-08,-8.0979929647e-10,6.02972328344e-08,-8.74178963622e-10,1.49934755796e-07,-5.97813795719e-08
35.0592698676,3.86644164335e-08,-2.91704208438e-10,5.17984950151e-08,8.14505250552e-10,6.23430663804e-08,-2.95244582053e-10,1.52684291737e-07,-5.97334265795e-08
36.2359611153,3.61133811259e-08,-3.69658857984e-10,4.97787026994e-08,-5.68159483567e-10,5.96644928598e-08,-3.61557486696e-10,1.51789322497e-07,-5.97940340146e-08
37.4521455498,3.70537999292e-08,4.18496914704e-11,4.98049024724e-08,6.35558087186e-10,6.11039980158e-08,4.20047312047e-11,1.52057654835e-07,-5.98594167665e-08
38.7091486774,3.66950371669e-08,3.17139455276e-11,5.08219739281e-08,8.66087914182e-11,5.97473260991e-08,1.29469417702e-11,1.53139935339e-07,-5.96285286607e-08
40.0083404924,3.75203967628e-08,2.47325545559e-10,5.10000696289e-08,4.47001591751e-11,6.11663355369e-08,2.47912219572e-10,1.53624076763e-07,-5.98520620377e-08
41.3511369702,3.71148604083e-08,5.07492043515e-10,5.0746069328e-08,4.84474862185e-10,6.07208814726e-08,5.10744201542e-10,1.52550116288e-07,-5.98557055874e-08
42.7390016103,3.6866718575e-08,-2.74553250748e-10,5.02060033509e-08,-1.00510356354e-10,6.00979824862e-08,-2.90723390322e-10,1.52212964543e-07,-5.99089548356e-08
44.1734470314,3.71160964809e-08,3.82403966553e-10,5.02399767657e-08,3.87185993756e-10,5.95998416298e-08,3.87186201252e-10,1.53018534377e-07,-5.9934232226e-08
45.6560366204,3.78235499902e-08,2.07993093149e-10,5.09962584497e-08,3.50652335414e-10,6.20006498498e-08,2.0527548746e-10,1.52276383545e-07,-5.995180295e-08
47.1883862357,3.79758368899e-08,-8.62789961989e-10,5.24700362338e-08,-2.75062476959e-10,6.20117928126e-08,-8.76673852178e-10,1.52704238133e-07,-5.9864667294e-08
48.7721659689,3.44548335967e-08,2.95167715072e-11,4.77490481331e-08,8.91844272001e-11,6.02881608928e-08,2.6950392742e-11,1.51688561106e-07,-6.00600081883e-08
50.4091019645,3.58222632232e-08,4.93847637762e-11,4.8312114891e-08,2.57139562408e-11,5.97893515999e-08,5.79059600022e-11,1.51239531487e-07,-5.97237976343e-08
